,sofr_robustness_nulls
observed_total_pnl_bp,967.142
observed_ann_sharpe,1.882
block_permutation_pvalue_total,0.079
block_permutation_pvalue_sharpe,0.062
null_total_pnl_mean,-49.325
null_total_pnl_median,-95.208
null_total_pnl_5pct,-1130.999
null_total_pnl_95pct,1160.256
null_sharpe_mean,-0.076
null_sharpe_median,-0.159
bootstrap_path_final_mean,812.464
bootstrap_path_final_median,800.595
total_pnl_lo,-537.869
total_pnl_median,800.595
total_pnl_hi,2181.375
ann_sharpe_lo,-1.089
ann_sharpe_median,1.71
ann_sharpe_hi,4.639
