,config_id,ridge,threshold_bp,min_train_weeks,risk_target_bp,folds,mean_test_n,mean_total_pnl_bp,median_total_pnl_bp,positive_fold_rate,mean_ann_sharpe,worst_drawdown_bp,mean_turnover
0,10,1e-04,12.0,52,35.0,15,58.667,368.91,374.008,0.667,1.945,-436.031,8.159
1,10,1e-05,12.0,52,35.0,15,58.667,368.909,374.008,0.667,1.945,-436.031,8.159
2,2,1e-04,5.0,52,35.0,15,58.667,372.368,413.398,0.733,1.937,-794.973,8.056
3,2,1e-05,5.0,52,35.0,15,58.667,372.366,413.398,0.733,1.937,-794.974,8.056
4,8,1e-04,12.0,52,25.0,15,58.667,286.98,267.149,0.667,1.919,-436.031,6.734
5,8,1e-05,12.0,52,25.0,15,58.667,286.978,267.149,0.667,1.919,-436.031,6.734
6,0,1e-04,5.0,52,25.0,15,58.667,287.863,295.285,0.733,1.918,-684.987,6.525
7,0,1e-05,5.0,52,25.0,15,58.667,287.862,295.284,0.733,1.918,-684.987,6.525
8,6,1e-04,8.0,52,35.0,15,58.667,367.259,405.001,0.733,1.899,-610.878,8.53
9,6,1e-05,8.0,52,35.0,15,58.667,367.257,405.0,0.733,1.899,-610.878,8.53
10,4,1e-04,8.0,52,25.0,15,58.667,283.07,289.286,0.733,1.876,-610.878,7.04
11,4,1e-05,8.0,52,25.0,15,58.667,283.069,289.286,0.733,1.876,-610.878,7.04
